ano link
2019 http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/decreto/d9766.htm
2003 http://www.planalto.gov.br/ccivil_03/decreto/2003/d4746.htm
2008 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2008/decreto/d6665.htm
2005 http://www.planalto.gov.br/ccivil_03/_ato2004-2006/2005/decreto/d5416.htm
2004 http://www.planalto.gov.br/ccivil_03/_ato2004-2006/2004/decreto/d5156.htm
2006 http://www.planalto.gov.br/ccivil_03/_ato2004-2006/2006/decreto/d5797.htm
2008 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2008/decreto/d6340.htm
2018 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/decreto/d9558.htm
2011 http://www.planalto.gov.br/ccivil_03/_ato2011-2014/2011/decreto/d7621.htm
2018 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/decreto/d9641.htm
2016 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2016/decreto/d8897.htm
2003 http://www.planalto.gov.br/ccivil_03/decreto/2003/d4863.htm
2009 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2009/decreto/d6763.htm
2012 http://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/decreto/d7702.htm
2006 http://www.planalto.gov.br/ccivil_03/_ato2004-2006/2006/decreto/d5933.htm
2010 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2010/decreto/d7224.htm
2002 http://www.planalto.gov.br/ccivil_03/decreto/2002/d4143.htm
2006 http://www.planalto.gov.br/ccivil_03/_ato2004-2006/2006/decreto/d5787.htm
2018 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/decreto/d9326.htm
2015 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2015/decreto/d8601.htm
2017 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2017/decreto/d9219.htm
2009 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2009/decreto/d7023.htm
2000 http://www.planalto.gov.br/ccivil_03/decreto/d3356.htm
2007 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2007/decreto/d6141.htm
2016 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2016/decreto/d8746.htm
2009 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2009/decreto/d6882.htm
2017 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2017/decreto/d9074.htm
2009 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2009/decreto/d6974.htm
2000 http://www.planalto.gov.br/ccivil_03/decreto/d3428.htm
2019 http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/decreto/d9734.htm
2010 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2010/decreto/d7268.htm
2002 http://www.planalto.gov.br/ccivil_03/decreto/2002/d4328.htm
2016 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2016/decreto/d8715.htm
2009 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2009/decreto/d6869.htm
2009 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2009/decreto/d6859.htm
2010 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2010/decreto/d7071.htm
2018 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/decreto/d9273.htm
2016 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2016/decreto/d8893.htm
2019 http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/decreto/d10137.htm
2013 http://www.planalto.gov.br/ccivil_03/_ato2011-2014/2013/decreto/d7976.htm
2000 http://www.planalto.gov.br/ccivil_03/decreto/d3603.htm
2009 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2009/decreto/d7021.htm
2019 http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/decreto/d9702.htm
2019 http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/decreto/d10029.htm
2002 http://www.planalto.gov.br/ccivil_03/decreto/2002/d4222.htm
2017 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2017/decreto/d9241.htm
2018 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/decreto/d9346.htm
2008 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2008/decreto/d6373.htm
2018 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/decreto/d9486.htm
2017 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2017/decreto/d9033.htm
2002 http://www.planalto.gov.br/ccivil_03/decreto/2002/d4496.htm
2008 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2008/decreto/d6398.htm
2014 http://www.planalto.gov.br/ccivil_03/_ato2011-2014/2014/decreto/d8329.htm
2002 http://www.planalto.gov.br/ccivil_03/decreto/2002/d4239.htm
2014 http://www.planalto.gov.br/ccivil_03/_ato2011-2014/2014/decreto/d8349.htm
2018 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/decreto/d9400.htm
2006 http://www.planalto.gov.br/ccivil_03/_ato2004-2006/2006/decreto/d6000.htm
2007 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2007/decreto/d6240.htm
2019 http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/decreto/d10066.htm
2013 http://www.planalto.gov.br/ccivil_03/_ato2011-2014/2013/decreto/d8049.htm
2005 http://www.planalto.gov.br/ccivil_03/_ato2004-2006/2005/decreto/d5531.htm
2019 http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/decreto/d10052.htm
2008 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2008/decreto/d6675.htm
2016 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2016/decreto/d8856.htm
2007 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2007/decreto/d6103.htm
2006 http://www.planalto.gov.br/ccivil_03/_ato2004-2006/2006/decreto/d5662.htm
2000 http://www.planalto.gov.br/ccivil_03/decreto/d3654.htm
2007 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2007/decreto/d6111.htm
2016 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2016/decreto/d8915.htm
2010 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2010/decreto/d7149.htm
2009 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2009/decreto/d6953.htm
2019 http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/decreto/d9996.htm
2002 http://www.planalto.gov.br/ccivil_03/decreto/2002/d4437.htm
2000 http://www.planalto.gov.br/ccivil_03/decreto/d3385.htm
2006 http://www.planalto.gov.br/ccivil_03/_ato2004-2006/2006/decreto/d5666.htm
2007 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2007/decreto/d6312.htm
2001 http://www.planalto.gov.br/ccivil_03/decreto/2001/d3894.htm
2000 http://www.planalto.gov.br/ccivil_03/decreto/d3549.htm
2019 http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/decreto/d10122.htm
2019 http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/decreto/d10115.htm
2015 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2015/decreto/d8435.htm
2010 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2010/decreto/d7172.htm
2012 http://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/decreto/d7685.htm
2010 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2010/decreto/d7313.htm
2015 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2015/decreto/d8502.htm
2000 http://www.planalto.gov.br/ccivil_03/decreto/d3430.htm
2005 http://www.planalto.gov.br/ccivil_03/_ato2004-2006/2005/decreto/d5582.htm
2000 http://www.planalto.gov.br/ccivil_03/decreto/d3343.htm
2015 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2015/decreto/d8529.htm
2018 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/decreto/d9599.htm
2000 http://www.planalto.gov.br/ccivil_03/decreto/d3439.htm
2017 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2017/decreto/d8984.htm
2005 http://www.planalto.gov.br/ccivil_03/_ato2004-2006/2005/decreto/d5579.htm
2006 http://www.planalto.gov.br/ccivil_03/_ato2004-2006/2006/decreto/d5661.htm
2004 http://www.planalto.gov.br/ccivil_03/_ato2004-2006/2004/decreto/d5099.htm
2019 http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/decreto/d9934.htm
2005 http://www.planalto.gov.br/ccivil_03/_ato2004-2006/2005/decreto/d5470.htm
2006 http://www.planalto.gov.br/ccivil_03/_ato2004-2006/2006/decreto/d5868.htm
2008 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2008/decreto/d6496.htm
